"subj","death","entry.years","censor.years","strength.3","strength.6","cons.3","cons.6","st.co3","st.co6","rank","af.groupmates","age.first.rep","period.pres","date.of.birth.estimate.range.years"
"adel","1",11.7152635181383,15.8822724161533,4.76696526848193,2.97561902539061,0.5,0.625,"1","1",0.78,12.2,1851,5,0
"agne","0",9.05681040383299,17.0540725530459,8.27010858516625,5.58253185117458,0.571428571,0.666666667,"4","3",0.43,12.25,2782,8,0
"agro","0",6.16016427104723,8.73921971252567,6.49894495273211,4.81680493280906,0.166666667,0.5,"1","1",0.44,12.33333333,2250,3,0
"ambe","0",11.4688569472964,19.4661190965092,9.8388374993208,5.99586950905923,0.714285714,0.85,"4","4",0.58,7.375,2665,8,0
"andy","0",7.12662559890486,9.44010951403149,8.27517137632772,6.62918784653485,0.833333333,0.75,"4","4",1,11.33333333,2613,3,0
"ange","0",6.54346338124572,10.5215605749487,10.4761267343884,6.84783810306305,0.444444444,0.722222222,"3","4",0.15,11.75,2390,4,0
"angl","1",19.6303901437372,24.1259411362081,5.08865565736918,3.34068290381809,0.583333333,0.545454545,"2","1",0.74,9,3119,5,0.5
"anni","1",18.5516769336071,20.8678986995209,7.01464866004428,4.66814122566817,0.833333333,0.916666667,"2","2",0.66,6.666666667,2587,3,0
"ardm","0",10.1190965092402,11.7207392197125,2.85199568623229,2.12522895729452,0.666666667,0.666666667,"2","1",0.25,21,3695,2,0
"arte","1",8.03011635865845,12.1423682409309,6.53648978178863,4.82161320007405,0.333333333,0.541666667,"1","1",0.63,17.4,2933,5,0
"asha","0",5.99863107460643,8.60506502395619,7.97240010540604,5.64616349537132,0.166666667,0.75,"3","4",0.71,8.666666667,2191,3,0
"bans","0",9.37713894592745,11.7426420260096,7.93646035246495,6.00669361547547,0.333333333,0.583333333,"3","3",0.72,20.33333333,3425,3,0
"bb","1",19.6303901437372,25.2922655715264,13.0203589749659,11.0291482168444,0.8,0.636363636,"4","3",0.37,10.5,2950,6,0.5
