"subj","period","start.age","stop.age","death","strength.3","strength.6","rank","af.groupmates","cons.p3","cons.p6","a.st.co3","a.st.co6"
"adel","p2",4644,5009,0,3.9173044392734,2.51343398768634,0.866666666666667,16,0.333333333333333,0.5,"1","1"
"adel","p3",5010,5374,0,3.60316545552792,2.59988017020266,0.625,9,0.666666666666667,0.833333333333333,"2","2"
"adel","p4",5383,5739,0,6.62398865117314,3.68681554562365,0.666666666666667,10,0.333333333333333,0.5,"1","1"
"adel","p5",5740,5801,1,2.20713345584577,1.24156366249719,0.818181818181818,10,0.666666666666667,0.666666666666667,"2","1"
"agne","p2",3673,4038,0,9.18436749385299,5.30190557032715,0.6,16,0.666666666666667,0.5,"4","3"
"agne","p3",4039,4403,0,2.21779923927828,1.35388536022533,0.25,9,0.333333333333333,0.666666666666667,"1","1"
"agne","p4",4412,4768,0,9.39504296568232,6.98816886525121,0.222222222222222,10,0.666666666666667,0.5,"4","3"
"agne","p5",4769,5133,0,6.50123207724851,4.26531625590861,0.318181818181818,10,0.333333333333333,0.833333333333333,"1","2"
"agne","p6",5134,5499,0,11.4987180816276,7.34139555702694,0.5,13,0.666666666666667,0.5,"4","3"
"agne","p7",5500,5864,0,12.6818428638938,9.54013522715736,0.583333333333333,13,0.666666666666667,0.833333333333333,"4","4"
"agne","p8",5865,6229,0,8.78999828032651,6.00662716727887,0.6,11,0.666666666666667,0.833333333333333,"4","4"
"agro","p7",2463,2827,0,6.14845289730596,4.70126058456141,0.5,13,0,0.333333333333333,"1","1"
"agro","p8",2828,3192,0,6.2316030255312,4.61965299743754,0.4,11,0.333333333333333,0.666666666666667,"1","1"
"ambe","p2",4554,4919,0,7.63597096321954,5.15521033535889,0.5,7,1,1,"4","4"
"ambe","p3",4920,5284,0,4.66570720341056,3.115300840143,0.4,6,0.333333333333333,1,"1","2"
"ambe","p4",5293,5649,0,29.6018038426026,15.759041280813,0.666666666666667,7,0.333333333333333,0.666666666666667,"3","3"
"ambe","p5",5650,6014,0,9.50478634184835,6.26723319614577,0.8,6,0.666666666666667,0.8,"4","4"
"ambe","p6",6015,6380,0,8.37598817367779,4.88634083441718,0.666666666666667,7,1,0.833333333333333,"4","2"
"ambe","p7",6381,6745,0,4.71970036482492,3.07558898002651,0.5,9,0.666666666666667,0.666666666666667,"2","1"
"ambe","p8",6746,7110,0,5.24580373836509,3.30544509597795,0.555555555555556,10,1,1,"2","2"
"andy","p7",2719,3083,0,6.72495714033714,5.0601586670403,1,12,0.666666666666667,0.5,"2","1"
"andy","p8",3084,3448,0,8.5872527320416,6.16831414712127,1,13,1,1,"4","4"
"ange","p6",2748,3113,0,13.0990809955702,8.54728023593149,0.166666666666667,13,0.333333333333333,0.5,"3","3"
"ange","p7",3114,3478,0,11.341003402909,7.37450407132285,0.166666666666667,13,0.666666666666667,0.833333333333333,"4","4"
"ange","p8",3479,3843,0,7.59416336397009,5.10057006265326,0.1,11,0.333333333333333,0.833333333333333,"3","2"
"angl","p2",7535,7900,0,4.77956706057391,2.68231186630771,0.733333333333333,16,0.333333333333333,0.666666666666667,"1","1"
"angl","p3",7901,8265,0,2.32648592978723,1.71100914987042,0.375,5,0.666666666666667,0.5,"2","1"
"angl","p4",8274,8630,0,8.70455032448317,6.52841274336238,1,4,0.333333333333333,0.25,"3","3"
"angl","p5",8631,8812,1,3.6756484519918,2.04081279724302,1,4,1,0.666666666666667,"2","1"
"anni","p2",7141,7506,0,7.39246381296422,4.75370789643562,0.666666666666667,7,0.666666666666667,1,"4","2"
"anni","p3",7507,7622,1,3.06645676627892,2.06596304832089,0.6,6,1,1,"2","2"
"ardm","p8",3917,4281,0,2.56371702466089,1.97622911403063,0.285714285714286,22,0.666666666666667,0.666666666666667,"2","1"
"arte","p3",3148,3512,0,7.20219412554896,5.22048028150403,0.65625,17,0.333333333333333,0.5,"3","3"
"arte","p4",3521,3877,0,7.64100412267366,5.64297900969719,0.6875,17,0.666666666666667,0.5,"4","3"
"arte","p5",3878,4242,0,3.75630532489686,3.20907098808526,0.625,17,0.333333333333333,0.666666666666667,"1","1"
"arte","p6",4243,4435,1,8.10168739150628,5.36465224711319,0.5,19,0,0.5,"3","3"
"asha","p7",2414,2778,0,8.02643211746639,5.48054500031534,0.625,9,0,0.666666666666667,"3","3"
"asha","p8",2779,3143,0,5.94074957315908,5.05754185505421,0.666666666666667,10,0.333333333333333,0.833333333333333,"1","2"
"bans","p7",3560,3924,0,5.06789299755776,3.78546130559271,0.684210526315789,20,0.333333333333333,0.666666666666667,"1","1"
"bans","p8",3925,4289,0,10.3077527837297,7.79937564571608,0.761904761904762,22,0.333333333333333,0.5,"3","3"
"bb","p2",7535,7900,0,14.3492869143691,8.14591674600643,0.133333333333333,16,0.666666666666667,0.5,"4","3"
"bb","p3",7901,8265,0,12.4787645952472,9.87114278900379,0.25,9,1,0.75,"4","4"
"bb","p4",8274,8630,0,14.1859198317737,14.1859198317737,0.666666666666667,5,0.666666666666667,1,"4","4"
"bb","p5",8631,8995,0,10.8296370157422,10.8296370157422,0.666666666666667,8,1,1,"4","4"
"bb","p6",8996,9238,1,18.313313646821,18.313313646821,0.5,9,1,1,"4","4"
"bif","p2",5355,5720,0,6.77290443524904,4.53570786706373,0.125,17,0,0.333333333333333,"1","1"
"bif","p3",5721,6085,0,2.8660097419466,2.36802435451874,0.125,17,0.666666666666667,0.833333333333333,"2","2"
"bif","p4",6094,6450,0,9.13243296932462,5.98714475362161,0.15625,17,0.333333333333333,0.666666666666667,"3","3"
"bif","p5",6451,6815,0,4.85798908800441,3.66844020626386,0.1875,17,0.333333333333333,0.666666666666667,"1","1"
"bif","p6",6816,7181,0,9.57739208284944,6.96294952303662,0.222222222222222,19,0.666666666666667,0.833333333333333,"4","4"
"bif","p7",7182,7546,0,5.63456218194198,4.02027694145102,0.315789473684211,20,0.333333333333333,0.666666666666667,"1","1"
"bif","p8",7547,7911,0,5.33177396453478,4.04131208067028,0.238095238095238,22,0.333333333333333,0.5,"1","1"
"bill","p2",3542,3907,0,4.20181973796466,3.12196930451806,0.375,17,0.333333333333333,0.666666666666667,"1","1"
"bill","p3",3908,4272,0,4.47471424392446,3.28441739126083,0.25,17,0.333333333333333,0.666666666666667,"1","1"
"bill","p4",4281,4637,0,6.48864182955613,4.44626664461088,0.15625,17,0.333333333333333,0.666666666666667,"1","1"
"bill","p5",4638,5002,0,3.42249691913116,2.99767280735747,0.5625,17,0,0.833333333333333,"1","2"
"bill","p6",5003,5368,0,4.28056909038807,2.9708420391261,0.333333333333333,19,1,1,"2","2"
"bill","p7",5369,5733,0,4.31432711651005,3.19521799986583,0.368421052631579,20,0.666666666666667,0.5,"2","1"
"bill","p8",5734,6098,0,8.41046732430097,6.08916673986731,0.380952380952381,22,0,0.666666666666667,"3","3"
"blaz","p2",4964,5329,0,5.94951486691338,5.32575942633146,0.5625,17,0,0.166666666666667,"1","3"
"blaz","p3",5330,5694,0,6.56109412928298,4.23848131790731,0.5625,17,0.333333333333333,1,"1","2"
"blaz","p4",5703,6059,0,14.7468793496406,9.14464891033392,0.5,17,0.666666666666667,0.666666666666667,"4","3"
"blaz","p5",6060,6424,0,4.4999817524332,3.26942601424533,0.125,17,0.333333333333333,0.333333333333333,"1","1"
"blaz","p6",6425,6790,0,4.05144895738224,2.7473631234527,0.111111111111111,19,1,1,"2","2"
"blaz","p7",6791,7155,0,4.18908631503269,2.90940325424983,0.105263157894737,20,0.333333333333333,0.5,"1","1"
"blaz","p8",7156,7520,0,4.41884395564079,3.34685996728704,0.0476190476190476,22,0.666666666666667,0.666666666666667,"2","1"
"bond","p7",2395,2759,0,8.90011814307696,6.16136986975835,0.666666666666667,13,0.333333333333333,0.666666666666667,"3","3"
"bond","p8",2760,3124,0,3.90232757698703,2.50223851419468,0.8,11,0.666666666666667,0.833333333333333,"2","2"
"bonn","p2",2851,3216,0,6.32467260027784,4.82096681564775,0.75,17,0,0.666666666666667,"1","1"
"bonn","p3",3217,3581,0,4.10564870305719,2.56147251521201,0.75,17,0.333333333333333,0.666666666666667,"1","1"
"bonn","p4",3590,3946,0,5.48405620075354,4.08190359059622,0.875,17,0.666666666666667,0.833333333333333,"2","2"
"bonn","p5",3947,4311,0,5.24841965039503,3.70712297292931,0.6875,17,0.333333333333333,0.833333333333333,"1","2"
"bonn","p6",4312,4677,0,7.33261059650039,5.75188239809013,0.666666666666667,19,0.333333333333333,0.666666666666667,"3","3"
"bonn","p7",4678,5042,0,4.26861368983778,3.09969540271801,0.736842105263158,20,0,0.333333333333333,"1","1"
"bonn","p8",5043,5407,0,4.70498488948866,3.84359203743785,0.714285714285714,22,0.333333333333333,0.5,"1","1"
"bow","p2",5649,6014,0,6.4635750239221,4.77536434854213,0.8125,17,0.666666666666667,0.5,"2","1"
"bow","p3",6015,6379,0,5.72991359754153,5.26246533331651,0.8125,17,0.333333333333333,0.5,"1","3"
"bow","p4",6388,6744,0,8.12619382955951,6.23669382817883,0.75,17,0.666666666666667,0.833333333333333,"4","4"
"bow","p5",6745,7109,0,4.22435041961313,3.43129592756927,0.75,17,0.333333333333333,0.5,"1","1"
"bow","p6",7110,7475,0,9.50387282932849,7.16719203234898,0.777777777777778,19,0.333333333333333,0.666666666666667,"3","3"
"bow","p7",7476,7840,0,4.45146216193498,3.12147641969277,0.789473684210526,20,0.333333333333333,0.666666666666667,"1","1"
"bow","p8",7841,8205,0,10.8883111683276,6.59131249712421,0.857142857142857,22,0.666666666666667,0.5,"4","3"
"buai","p7",3148,3512,0,4.77601820916395,3.4625924846333,0.157894736842105,20,0.333333333333333,0.5,"1","1"
"buai","p8",3513,3877,0,4.4834273957192,3.41818812259614,0.19047619047619,22,1,0.666666666666667,"2","1"
"buzz","p8",2797,3161,0,7.93630497664536,7.93630497664536,0.5,3,1,1,"4","4"
